LapNumber,DriverNumber,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedAvg,ThrottleAvg,BrakeAvg,Year,Circuit,CircuitType,SessionType
1.0,16,Ferrari,100.003,32.485,42.543,24.975,118.6677390383712,36.04981851198636,0.2852193995381062,2021,Monaco,Street,Qualifying
2.0,16,Ferrari,74.875,19.976,35.167,19.732,158.0943811462847,52.67417970244004,0.2748091603053435,2021,Monaco,Street,Qualifying
3.0,16,Ferrari,95.582,24.925,44.774,25.883,123.91998451087407,35.73899462441151,0.2922155688622754,2021,Monaco,Street,Qualifying
4.0,16,Ferrari,71.55,18.927,33.578,19.045,165.27995544000592,57.570077366039385,0.2667731629392971,2021,Monaco,Street,Qualifying
5.0,16,Ferrari,101.113,26.362,50.313,24.438,116.99473933707932,31.370037189996975,0.2729331823329558,2021,Monaco,Street,Qualifying
6.0,16,Ferrari,71.113,18.724,33.494,18.895,166.5564974758513,58.614970302163485,0.2487961476725521,2021,Monaco,Street,Qualifying
7.0,16,Ferrari,95.677,24.207,48.412,23.058,123.78583123139282,34.043491728384645,0.3038277511961722,2021,Monaco,Street,Qualifying
8.0,16,Ferrari,71.233,18.793,33.603,18.837,165.8465202976688,58.35969315758589,0.2439807383627608,2021,Monaco,Street,Qualifying
9.0,16,Ferrari,91.126,24.922,43.77,22.434,130.1510201008042,35.76408762553476,0.257537688442211,2021,Monaco,Street,Qualifying
11.0,16,Ferrari,90.113,27.557,39.664,22.892,130.95610502073612,42.620589989206415,0.2935196950444727,2021,Monaco,Street,Qualifying
12.0,16,Ferrari,82.834,22.085,39.013,21.736,143.3712828257143,49.2842433437825,0.290633608815427,2021,Monaco,Street,Qualifying
13.0,16,Ferrari,71.037,18.744,33.428,18.865,166.73396349039993,57.66310611205866,0.2528180354267311,2021,Monaco,Street,Qualifying
14.0,16,Ferrari,101.933,26.222,46.064,29.647,116.17471010259052,30.357560284266288,0.249438202247191,2021,Monaco,Street,Qualifying
15.0,16,Ferrari,70.922,18.768,33.414,18.74,166.8004227474543,57.79712401031696,0.2596774193548387,2021,Monaco,Street,Qualifying
17.0,16,Ferrari,89.796,25.904,38.62,25.272,131.4027041090267,41.5228929233984,0.2777070063694267,2021,Monaco,Street,Qualifying
18.0,16,Ferrari,83.461,21.407,39.006,23.048,142.17862685688505,47.69472290159591,0.2794520547945205,2021,Monaco,Street,Qualifying
19.0,16,Ferrari,70.597,18.73,33.064,18.803,167.76814540393914,58.721535326609455,0.2508090614886731,2021,Monaco,Street,Qualifying
21.0,16,Ferrari,92.345,29.178,40.498,22.669,127.92986961805735,41.53851232043865,0.2537128712871287,2021,Monaco,Street,Qualifying
22.0,16,Ferrari,87.589,21.952,40.088,25.549,135.62228860731096,44.6106882787675,0.2679738562091503,2021,Monaco,Street,Qualifying
23.0,16,Ferrari,70.346,18.612,32.983,18.751,168.4901705228067,59.385833136067546,0.2613636363636363,2021,Monaco,Street,Qualifying
25.0,16,Ferrari,90.809,27.388,40.772,22.649,130.09564105127748,41.80414761698793,0.3056603773584905,2021,Monaco,Street,Qualifying
26.0,16,Ferrari,96.104,25.104,46.017,24.983,123.55409140775006,41.81141917557184,0.2729439809296782,2021,Monaco,Street,Qualifying
27.0,16,Ferrari,76.71,18.644,33.083,24.983,126.87672159725533,42.13159911395497,0.2160953800298062,2021,Monaco,Street,Qualifying
1.0,33,Red Bull Racing,95.355,24.741,38.207,32.407,124.23423463194132,37.39222830081915,0.2902055622732769,2021,Monaco,Street,Qualifying
2.0,33,Red Bull Racing,72.987,19.352,34.315,19.32,162.68519704995504,53.46732289886278,0.2633228840125391,2021,Monaco,Street,Qualifying
3.0,33,Red Bull Racing,92.558,21.14,43.926,27.492,128.22496771763008,37.28124768462419,0.2385661310259579,2021,Monaco,Street,Qualifying
4.0,33,Red Bull Racing,71.522,18.859,33.67,18.993,165.6427825937102,56.00427353193854,0.2523961661341853,2021,Monaco,Street,Qualifying
5.0,33,Red Bull Racing,97.478,23.763,45.123,28.592,121.33231422829785,30.590349595285844,0.2479435957696827,2021,Monaco,Street,Qualifying
6.0,33,Red Bull Racing,71.124,18.687,33.429,19.008,166.3529636463655,57.171378929838845,0.2508038585209003,2021,Monaco,Street,Qualifying
8.0,33,Red Bull Racing,96.074,26.111,39.179,30.784,122.92313046990304,36.14055263606652,0.2595238095238095,2021,Monaco,Street,Qualifying
9.0,33,Red Bull Racing,71.04,18.637,33.355,19.048,166.58198692845357,55.70455786503285,0.2459807073954984,2021,Monaco,Street,Qualifying
10.0,33,Red Bull Racing,99.506,26.305,43.873,29.328,119.1757818403045,33.082343773560304,0.2356321839080459,2021,Monaco,Street,Qualifying
11.0,33,Red Bull Racing,70.65,18.539,33.285,18.826,167.53098158131945,56.65705952704956,0.2512155591572123,2021,Monaco,Street,Qualifying
13.0,33,Red Bull Racing,96.261,24.506,39.787,31.968,122.8753314775556,33.78763665061064,0.2066508313539192,2021,Monaco,Street,Qualifying
14.0,33,Red Bull Racing,71.083,18.723,33.38,18.98,166.96281995812043,56.00505950904604,0.2367149758454106,2021,Monaco,Street,Qualifying
15.0,33,Red Bull Racing,98.232,24.815,44.713,28.704,120.83548925236218,30.8262140045348,0.1920838183934808,2021,Monaco,Street,Qualifying
17.0,33,Red Bull Racing,82.218,24.742,36.598,20.878,144.3183979626466,50.06073128701808,0.2527777777777777,2021,Monaco,Street,Qualifying
18.0,33,Red Bull Racing,70.576,18.472,33.349,18.755,167.7161432904477,57.83205646327354,0.2483766233766234,2021,Monaco,Street,Qualifying
20.0,33,Red Bull Racing,81.339,23.67,37.158,20.511,145.52280347616446,49.68575149339361,0.2528089887640449,2021,Monaco,Street,Qualifying
21.0,33,Red Bull Racing,74.538,18.585,33.863,22.09,159.19119405242978,53.27028826666623,0.2365591397849462,2021,Monaco,Street,Qualifying
22.0,33,Red Bull Racing,83.589,23.108,39.53,20.951,142.04600952357143,40.33482597537734,0.2421340629274966,2021,Monaco,Street,Qualifying
1.0,77,Mercedes,90.76,26.994,40.311,23.455,130.6824629074005,40.06813450946399,0.30828025477707,2021,Monaco,Street,Qualifying
2.0,77,Mercedes,82.022,20.541,38.699,22.782,144.83206080921593,42.573700107632526,0.3008356545961003,2021,Monaco,Street,Qualifying
